,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,21963,24.0,5.0,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,20002.518724298156
1,10410,35.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.513571040923
2,38301,38.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,20002.511542579512
3,44997,27.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20002.488144256637
4,16861,20.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,20002.505004306473
5,7720,37.0,4.9,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,20002.513818897543
6,22162,22.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12,20002.505742936475
7,13431,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27,20002.514138897168
8,28737,38.0,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44,20002.496957495794
9,41391,,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31,20002.51972672103
10,13705,34.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,20002.505894025373
11,41447,35.0,5.0,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,20002.513965593716
12,27512,29.0,4.4,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36,20002.5087327962
13,44248,20.0,4.8,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15,20002.519667195436
14,7755,26.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,20002.513619928686
15,25267,37.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26,20002.4884771235
16,39689,30.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,20002.5055668242
17,15031,37.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,20002.489427743432
18,10307,23.0,5.0,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24,20002.51566471766
19,39568,22.0,4.7,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,20002.498152402422
20,42595,38.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,20002.51399220783
21,21105,29.0,4.9,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13,20002.520241262337
22,22739,20.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40,20002.498016951326
23,37144,30.0,4.8,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,20002.515665273495
24,32367,24.0,4.7,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28,20002.48931162393
25,44899,28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26,20002.508240869884
26,2408,39.0,4.9,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50,20002.510921865294
27,38238,29.0,4.8,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.50679074448
28,342,33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,20002.50589187066
29,37322,35.0,3.6,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,20002.505114409934
30,21967,28.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,20002.49756150012
31,13832,30.0,4.4,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,40,20002.48764792747
32,38034,,,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.505567253073
33,14916,35.0,4.6,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,20002.499133313802
34,7685,25.0,5.0,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25,20002.496957495794
35,20194,,,,,3,Meal,scooter,0.0,No,Metropolitian,37,20002.505892299923
36,13458,26.0,4.7,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,26,20002.513899887395
37,40412,37.0,4.9,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25,20002.498495899927
38,25461,32.0,4.8,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,25,20002.517490476657
39,7665,37.0,4.9,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19,20002.517400169836
40,36516,32.0,4.1,Fog,Jam,1,Snack,motorcycle,3.0,No,Metropolitian,44,20002.48979884379
41,33886,20.0,4.7,Sunny,High,1,Drinks,motorcycle,0.0,No,Urban,16,20002.519705601793
42,27558,28.0,4.8,Windy,Low,1,Buffet,motorcycle,0.0,,Metropolitian,11,20002.509652571003
43,9595,37.0,4.8,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,28,20002.515795509775
44,37624,30.0,4.7,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,18,20002.50894173106
45,9722,34.0,4.7,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,19,20002.508241072992
46,33581,20.0,5.0,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,14,20002.517462135515
47,42416,22.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,20002.515940083857
48,22362,39.0,4.1,Cloudy,High,1,Buffet,scooter,1.0,No,Metropolitian,33,20002.517566498176
49,32554,26.0,4.8,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,24,20002.505515337827
50,43306,31.0,4.8,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,44,20002.505118663616
51,9693,35.0,4.5,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.515836000974
52,8467,22.0,4.7,Sandstorms,High,1,Meal,motorcycle,0.0,No,Urban,19,20002.517566837272
53,40278,38.0,4.8,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,19,20002.517718640298
54,22825,22.0,2.8,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,37,20002.506328928375
55,15460,24.0,4.8,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,20002.518861924756
56,5860,30.0,4.3,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,20002.508457874694
57,22802,36.0,4.4,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,42,20002.511897818313
58,16266,38.0,4.6,Cloudy,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,46,20002.488252294614
59,30494,34.0,5.0,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.49872106186
60,45124,24.0,4.7,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,12,20002.51619701422
61,24387,21.0,5.0,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,19,20002.505745592167
62,10059,33.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,24,20002.50500386683
63,8975,30.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,27,20002.51736898849
64,3106,22.0,4.7,Windy,Medium,2,Drinks,motorcycle,1.0,No,Urban,27,20002.517551148336
65,2676,20.0,4.7,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,10,20002.517552734913
66,38074,25.0,4.7,Sunny,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,10,20002.505556585755
67,11444,25.0,4.9,Cloudy,Low,2,Snack,scooter,0.0,No,Urban,12,20002.515576659665
68,20024,34.0,4.7,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,41,20002.49738972567
69,31288,21.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.510921865294
70,39262,21.0,4.8,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,12,20002.515939238267
71,25072,22.0,4.6,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,26,20002.508668301314
72,45408,24.0,4.5,Cloudy,Low,1,Drinks,motorcycle,0.0,No,,16,20002.520244115247
73,15617,28.0,4.6,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,19,20002.50500511935
74,10089,27.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,,23,20002.486207363596
75,14712,23.0,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,19,20002.506327060382
76,25253,22.0,4.5,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.508296060187
77,24679,36.0,5.0,Sandstorms,Low,2,Meal,scooter,1.0,No,Urban,22,20002.51875847875
78,7724,35.0,5.0,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,34,20002.51568727283
79,1411,27.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,20002.51872455234
80,14736,37.0,4.8,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,30,20002.515840081684
81,4639,33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.513947618732
82,29786,33.0,4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.508332491692
83,29314,30.0,5.0,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,20,20002.515958435415
84,19384,22.0,4.9,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,20002.51114003468
85,15107,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,33,20002.513602621795
86,43332,30.0,4.1,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.52024411624
87,43139,36.0,4.9,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18,20002.518815835538
88,18326,33.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,13,20002.515940318135
89,4526,30.0,4.8,Windy,Jam,2,Buffet,motorcycle,1.0,No,Urban,26,20002.513947715735
90,45247,22.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,,No,Metropolitian,24,20002.488489077794
91,34931,34.0,4.7,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,20002.511430173
92,22896,31.0,4.6,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,36,20002.520245958516
93,32892,35.0,4.4,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,37,20002.51162207384
94,19357,33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.508012619965
95,13438,,,Sandstorms,High,2,Drinks,scooter,1.0,No,Metropolitian,32,20002.517399930504
96,44907,32.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,42,20002.51109627885
97,14680,33.0,4.6,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,20,20002.51592672132
98,8165,24.0,4.9,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,37,20002.48814765035
99,15390,20.0,4.3,Sunny,High,0,Meal,motorcycle,0.0,No,Metropolitian,46,20002.517480280752
100,19628,35.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,12,20002.51360268723
101,42694,28.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520238440025
102,25562,26.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,35,20002.48848268352
103,11327,23.0,4.9,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,26,20002.518903100332
104,14606,31.0,4.9,Fog,Medium,0,Buffet,motorcycle,0.0,No,Urban,35,20002.508642310782
105,24157,29.0,4.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,19,20002.497562003882
106,42378,,,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,31,20002.520240190246
107,7152,39.0,4.6,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,20,20002.515700728014
108,28209,21.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.519669007703
109,28762,26.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,20002.520231456303
110,24910,29.0,4.7,Sandstorms,High,1,Drinks,scooter,0.0,,Metropolitian,11,20002.520241974802
111,18869,34.0,4.5,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,26,20002.499369349367
112,24136,30.0,4.6,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,17,20002.515940023983
113,45284,34.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.5156985671
114,31420,33.0,4.7,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,35,20002.511900663943
